YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,HI,Albedo_linear,Albedo_spline,skin_temperature_max_C,skin_temperature_min_C,NDBaI_linear,NDBaI_spline,NDBI_linear,NDBI_spline,NDVI_original,NDWI_linear,NDWI_spline
2014,2,18,21.8,12.5,87,1,140,23.2,0.102947418,0.26675048,29.97162781,15.01889954,0.201682676,0.228916009,-0.100624064,-0.138513348,0.243951852,-0.500872965,-0.404170285
2014,2,19,22.5,11.5,71,1,140,23.2,0.104784184,0.266773203,29.14582214,17.11644897,0.195311449,0.228988246,-0.099694447,-0.138549188,0.251833333,-0.501264621,-0.404020136
2014,2,20,21.5,10.4,92,2,110,23,0.106620949,0.266795914,28.46251831,15.66234741,0.188940222,0.229060412,-0.098764829,-0.138584986,0.085033333,-0.501656276,-0.403870152
2014,2,21,22.6,10.5,83,2,110,24,0.108457715,0.266818613,28.26737366,15.1193634,0.182568996,0.229132507,-0.097835212,-0.138620744,0.120685185,-0.502047932,-0.403720333
2014,2,22,19.8,10.3,80,2,110,26.6,0.11029448,0.2668413,28.50048218,15.95894775,0.176197769,0.22920453,-0.096905595,-0.138656462,0.1334,-0.502439588,-0.403570678
2014,2,23,19.5,10.6,92,1,140,23.1,0.112131246,0.112131246,28.84765015,14.9535614,0.169826542,0.169826542,-0.095975977,-0.095975977,0.08092963,-0.502831243,-0.502831243
2014,2,24,23.2,10.5,88,2,180,23.5,0.108086564,0.266886638,29.47306213,12.50034485,0.174977666,0.229348362,-0.099137473,-0.138727776,0.02742963,-0.499873712,-0.403271864
2014,2,25,21.6,13,89,1,110,21.8,0.104041883,0.266909289,30.72188721,16.30043945,0.180128791,0.229420172,-0.102298968,-0.138763372,0.086385185,-0.49691618,-0.403122704
2014,2,26,21,13.4,91,1,180,23.7,0.099997202,0.266931928,28.10897217,14.84172974,0.185279916,0.22949191,-0.105460463,-0.138798928,0.046533333,-0.493958649,-0.402973709
2014,2,27,23,12.4,91,2,140,22.7,0.09595252,0.266954555,29.87934265,16.57488403,0.19043104,0.229563576,-0.108621958,-0.138834443,0.094055556,-0.491001117,-0.402824878
2014,2,28,23.1,13.3,81,1,250,22.8,0.091907839,0.26697717,27.33457336,17.08583984,0.195582165,0.229635172,-0.111783454,-0.138869918,0.074122222,-0.488043585,-0.402676211
2014,3,1,22.4,13.5,88,1,320,22.2,0.087863158,0.266999773,28.92687378,16.78351746,0.200733289,0.229706697,-0.114944949,-0.138905353,0.128955556,-0.485086054,-0.402527709
2014,3,2,22,13,88,1,110,22.8,0.083818476,0.083818476,29.93706665,16.3989502,0.205884414,0.205884414,-0.118106444,-0.118106444,0.047751852,-0.482128522,-0.482128522
2014,3,3,23,13.2,84,1,270,24,0.087010725,0.267044943,29.04497681,17.58469543,0.200255842,0.229849532,-0.113244549,-0.138976101,0.157777778,-0.480387609,-0.402231198
2014,3,4,23.4,12.8,86,1,290,23.9,0.090202973,0.26706751,29.8256012,15.94899902,0.19462727,0.229920844,-0.108382654,-0.139011415,0.309848148,-0.478646695,-0.402083188
2014,3,5,21.8,12.6,88,1,220,22.9,0.093395221,0.267090066,30.02454529,17.16658936,0.188998699,0.229992084,-0.103520759,-0.139046688,0.028474074,-0.476905781,-0.401935343
2014,3,6,22.5,13,83,1,220,22.8,0.096587469,0.267112609,29.01175842,17.07642517,0.183370127,0.230063254,-0.098658864,-0.139081921,0.137992593,-0.475164868,-0.401787661
2014,3,7,22.4,12.8,89,1,220,23.8,0.099779718,0.26713514,28.17420349,16.66343079,0.177741555,0.230134352,-0.093796968,-0.139117114,0.117807407,-0.473423954,-0.401640144
2014,3,8,22,13.5,95,2,320,23.9,0.102971966,0.26715766,30.73113403,14.86747131,0.172112983,0.23020538,-0.088935073,-0.139152267,0.028525926,-0.471683041,-0.40149279
2014,3,9,22.6,13.6,89,1,110,24,0.106164214,0.267180167,30.66703186,17.02384338,0.166484412,0.230276337,-0.084073178,-0.13918738,0.061062963,-0.469942127,-0.4013456
2014,3,10,23,13.2,82,1,110,23.4,0.109356462,0.267202662,30.370401,18.10483704,0.16085584,0.230347223,-0.079211283,-0.139222452,0.059518519,-0.468201214,-0.401198573
2014,3,11,23,13.4,88,2,110,23.6,0.112548711,0.112548711,29.52419434,18.13477478,0.155227268,0.155227268,-0.074349388,-0.074349388,0.061581481,-0.4664603,-0.4664603
2014,3,12,24.4,14.5,82,2,250,23.9,0.111727625,0.267247617,32.10352478,18.32665405,0.155989409,0.230488783,-0.069544484,-0.139292477,0.059833333,-0.461036869,-0.400905011
2014,3,13,25,14.7,91,1,180,24.7,0.110906539,0.267270077,32.06517944,18.50844727,0.156751549,0.230559457,-0.064739581,-0.139327429,0.346433333,-0.455613437,-0.400758475
2014,3,14,24.5,14.5,91,2,140,24.1,0.110085453,0.267292525,32.60108337,18.44117126,0.157513689,0.23063006,-0.059934677,-0.139362341,0.101725926,-0.450190005,-0.400612102
2014,3,15,25.3,13.5,84,1,110,25.3,0.109264368,0.26731496,32.4646698,17.63494263,0.15827583,0.230700593,-0.055129774,-0.139397213,0.114244444,-0.444766574,-0.400465892
2014,3,16,25.4,13.2,89,1,160,25.4,0.108443282,0.267337384,33.9084259,17.53768311,0.15903797,0.230771055,-0.05032487,-0.139432045,0.086948148,-0.439343142,-0.400319846
2014,3,17,26,13.4,82,2,160,26.5,0.107622196,0.267359795,34.886026,13.23912964,0.15980011,0.230841446,-0.045519967,-0.139466837,,-0.433919711,-0.400173963
2014,3,18,25,13.5,86,1,140,25.1,0.10680111,0.10680111,34.78917847,14.95050964,0.160562251,0.160562251,-0.040715063,-0.040715063,0.425144444,-0.428496279,-0.428496279
2014,3,19,25.8,14.5,77,1,140,26,0.107736356,0.267404583,35.43561707,15.11467896,0.158102312,0.230982018,-0.044428279,-0.139536301,0.169996296,-0.43297411,-0.399882686
2014,3,20,25.4,14.2,87,1,140,25.9,0.108671601,0.267426959,34.46373901,16.65488586,0.155642373,0.231052198,-0.048141495,-0.139570973,0.296477778,-0.437451942,-0.399737291
2014,3,21,24,13.2,88,2,110,23.9,0.109606847,0.267449323,33.80742798,18.48873291,0.153182434,0.231122308,-0.051854712,-0.139605606,0.133818519,-0.441929773,-0.399592059
2014,3,22,24.4,12.6,87,3,110,22.9,0.110542092,0.267471674,33.02770386,18.21782837,0.150722495,0.231192347,-0.055567928,-0.139640198,0.220311111,-0.446407604,-0.399446991
2014,3,23,24.8,13.6,82,2,110,25.8,0.111477338,0.267494014,34.72286377,18.44196472,0.148262556,0.231262316,-0.059281144,-0.13967475,0.312288889,-0.450885435,-0.399302084
2014,3,24,25.5,14,83,3,140,26,0.112412583,0.267516342,33.39483032,18.78785095,0.145802618,0.231332215,-0.06299436,-0.139709263,0.387914815,-0.455363267,-0.39915734
2014,3,25,22,15.3,90,3,110,21.5,0.113347829,0.267538658,23.79424438,18.79262695,0.143342679,0.231402044,-0.066707576,-0.139743736,0.064874074,-0.459841098,-0.399012759
2014,3,26,23.6,15.5,89,2,110,24.6,0.114283074,0.267560962,30.48739014,16.53623352,0.14088274,0.231471802,-0.070420792,-0.139778168,0.019222222,-0.464318929,-0.39886834
