date,NDBaI_original,NDBaI_linear,NDBaI_spline
2022-03-25,,-0.16367160923160076,-0.03652579929150787
2022-03-26,,-0.15491762606935697,-0.03658081364404235
2022-03-27,,-0.1461636429071132,-0.036636018991034164
2022-03-28,,-0.1374096597448694,-0.03669141547313793
2022-03-29,,-0.12865567658262564,-0.03674700323100834
2022-03-30,,-0.11990169342038187,-0.036802782405300015
2022-03-31,,-0.11114771025813809,-0.03685875313666765
2022-04-01,-0.10239372709589431,-0.10239372709589431,-0.10239372709589431
2022-04-02,,-0.08990498352380374,-0.0369712698332493
2022-04-03,,-0.07741623995171319,-0.03702781607977264
2022-04-04,,-0.06492749637962263,-0.03708455444599054
2022-04-05,,-0.05243875280753207,-0.03714148507255764
2022-04-06,,-0.03995000923544151,-0.03719860810012861
2022-04-07,,-0.027461265663350942,-0.037255923669358065
2022-04-08,,-0.01497252209126039,-0.03731343192090071
2022-04-09,-0.0024837785191698216,-0.0024837785191698216,-0.0024837785191698216
2022-04-10,,-0.023767565187453512,-0.03742902703354413
2022-04-11,,-0.04505135185573721,-0.0374871141759542
2022-04-12,,-0.0663351385240209,-0.03754539456329605
2022-04-13,,-0.08761892519230459,-0.037603868336224325
2022-04-14,,-0.10890271186058828,-0.03766253563539373
2022-04-15,,-0.13018649852887196,-0.03772139660145886
2022-04-16,,-0.15147028519715566,-0.03778045137507438
2022-04-17,-0.17275407186543934,-0.17275407186543934,-0.17275407186543934
2022-04-18,,-0.14227567457321938,-0.03789914290757529
2022-04-19,,-0.11179727728099942,-0.03795877994776996
2022-04-20,,-0.08131887998877944,-0.038018611358133635
2022-04-21,,-0.05084048269655948,-0.03807863727932099
2022-04-22,,-0.02036208540433951,-0.038138857851986674
2022-04-23,,0.010116311887880453,-0.03819927321678533
2022-04-24,,0.04059470918010041,-0.03825988351437165
2022-04-25,0.07107310647232037,0.07107310647232037,0.07107310647232037
2022-04-26,,0.07425311620228978,-0.038381689470525754
2022-04-27,,0.07743312593225918,-0.0384428854104029
2022-04-28,,0.0806131356622286,-0.038504276845686275
2022-04-29,,0.083793145392198,-0.038565863917030554
2022-04-30,,0.0869731551221674,-0.038627646765090416
2022-05-01,,0.09015316485213681,-0.03868962553052045
2022-05-02,,0.09333317458210622,-0.038751800353975394
2022-05-03,0.09651318431207562,0.09651318431207562,0.09651318431207562
2022-05-04,,0.09636383434314011,-0.03887673873757848
2022-05-05,,0.09621448437420459,-0.038939502579035945
2022-05-06,,0.09606513440526906,-0.03900246304113689
2022-05-07,,0.09591578443633356,-0.03906562026453597
2022-05-08,,0.09576643446739805,-0.039128974389887855
2022-05-09,,0.09561708449846253,-0.03919252555784719
2022-05-10,,0.095467734529527,-0.039256273909068606
2022-05-11,0.0953183845605915,0.0953183845605915,0.0953183845605915
2022-05-12,,0.101884616325677,-0.039384362723916405
2022-05-13,,0.10845084809076248,-0.039448703468852084
2022-05-14,,0.11501707985584797,-0.03951324195966846
2022-05-15,,0.12158331162093347,-0.03957797833702022
2022-05-16,,0.12814954338601897,-0.039642912741561995
2022-05-17,,0.13471577515110444,-0.03970804531394846
2022-05-18,,0.14128200691618995,-0.03977337619483428
2022-05-19,0.14784823868127545,0.14784823868127545,0.14784823868127545
2022-05-20,,0.1491259691924944,-0.039904633444722504
2022-05-21,,0.15040369970371337,-0.03997056009503424
2022-05-22,,0.15168143021493233,-0.04003668561646394
2022-05-23,,0.1529591607261513,-0.04010301014966624
2022-05-24,,0.15423689123737028,-0.040169533835295805
2022-05-25,,0.15551462174858924,-0.040236256814007276
2022-05-26,,0.1567923522598082,-0.04030317922645533
2022-05-27,0.15807008277102716,0.15807008277102716,0.15807008277102716
2022-05-28,,0.14434058477204476,-0.040437622915179744
2022-05-29,,0.13061108677306235,-0.0405051444727654
2022-05-30,,0.11688158877407993,-0.040572866026706275
2022-05-31,,0.10315209077509752,-0.04064078771765699
2022-06-01,,0.08942259277611511,-0.04070890968627219
2022-06-02,,0.07569309477713271,-0.040777232073206535
2022-06-03,,0.06196359677815029,-0.0408457550191147
2022-06-04,0.048234098779167886,0.048234098779167886,0.048234098779167886
2022-06-05,,0.06868179414853834,-0.04098340315047103
2022-06-06,,0.08912948951790878,-0.04105252861722852
2022-06-07,,0.10957718488727922,-0.04112185520557844
2022-06-08,,0.13002488025664966,-0.041191383056175424
2022-06-09,,0.15047257562602012,-0.04126111230967414
2022-06-10,,0.17092027099539056,-0.041331043106729234
