date,NDBaI_original,NDBaI_linear,NDBaI_spline
2024-04-24,,-0.1589943370073775,-0.03584707446466894
2024-04-25,,-0.16889828577252528,-0.034664477448421924
2024-04-26,,-0.17880223453767302,-0.03349686496966256
2024-04-27,,-0.1887061833028208,-0.03234428453273519
2024-04-28,,-0.19861013206796854,-0.031206783641984148
2024-04-29,,-0.2085140808331163,-0.030084409801753823
2024-04-30,,-0.21841802959826406,-0.028977210516388567
2024-05-01,-0.2283219783634118,-0.2283219783634118,-0.2283219783634118
2024-05-02,,-0.18479374285491895,-0.026808525627630697
2024-05-03,,-0.14126550734642607,-0.025747135032926808
2024-05-04,,-0.09773727183793321,-0.024701109010465405
2024-05-05,,-0.054209036329440324,-0.023670495064590846
2024-05-06,,-0.01068080082094744,-0.02265534069964749
2024-05-07,,0.03284743468754539,-0.021655693419979756
2024-05-08,,0.07637567019603828,-0.020671600729931912
2024-05-09,,0.11990390570453116,-0.019703110133848376
2024-05-10,,0.16343214121302405,-0.018750269136073475
2024-05-11,,0.20696037672151693,-0.017813125240951574
2024-05-12,,0.25048861223000973,-0.016891725952827025
2024-05-13,,0.29401684773850256,-0.01598611877604421
2024-05-14,,0.3375450832469955,-0.015096351214947458
2024-05-15,,0.38107331875548833,-0.014222470773881151
2024-05-16,,0.4246015542639813,-0.01336452495718962
2024-05-17,0.4681297897724741,0.4681297897724741,0.4681297897724741
2024-05-18,,0.3787004302041811,-0.011696627214308359
2024-05-19,,0.28927107063588814,-0.010886770296807355
2024-05-20,,0.19984171106759518,-0.010093038021058558
2024-05-21,,0.11041235149930217,-0.009315477891406373
2024-05-22,,0.020982991931009165,-0.008554137412195085
2024-05-23,,-0.06844636763728373,-0.007809064087769123
2024-05-24,,-0.15787572720557674,-0.007080305422472788
2024-05-25,-0.2473050867738698,-0.2473050867738698,-0.2473050867738698
2024-05-26,,-0.23581637486502813,-0.005671922086646526
2024-05-27,,-0.22432766295618645,-0.004992392424805307
2024-05-28,,-0.21283895104734477,-0.004329367439471148
2024-05-29,,-0.20135023913850308,-0.0036828946349884498
2024-05-30,,-0.1898615272296614,-0.00305302151570154
2024-05-31,,-0.17837281532081972,-0.002439795585954807
2024-06-01,,-0.16688410341197804,-0.0018432643500925563
